,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,growth,interval_width,smape,coverage,ambiente_id
14,0.001,10.0,multiplicative,linear,0.95,0.24221554229946576,0.875,4558
3,0.001,0.01,multiplicative,logistic,0.95,0.4514588962439569,0.9642857142857143,4562
14,0.001,10.0,multiplicative,linear,0.95,0.2514322846021549,0.9642857142857143,4581
51,0.5,0.01,multiplicative,logistic,0.95,0.5491778462203916,0.9642857142857143,4592
46,0.1,10.0,multiplicative,linear,0.95,0.8699890534939528,0.9464285714285714,4635
11,0.001,1.0,multiplicative,logistic,0.95,0.5892138400416288,0.9285714285714286,4657
21,0.01,0.1,additive,logistic,0.95,0.3782796435187606,0.8571428571428571,4660
55,0.5,0.1,multiplicative,logistic,0.95,0.215460228797781,0.9285714285714286,4723
47,0.1,10.0,multiplicative,logistic,0.95,1.0436706913097775,1.0,4804
53,0.5,0.1,additive,logistic,0.95,0.05711299166675659,0.875,4807
14,0.001,10.0,multiplicative,linear,0.95,0.35718865576407727,0.9821428571428571,4817
14,0.001,10.0,multiplicative,linear,0.95,0.3345744929517932,0.9464285714285714,4842
16,0.01,0.01,additive,linear,0.95,0.7180176987786553,0.75,4952
14,0.001,10.0,multiplicative,linear,0.95,0.7310078666696794,0.9107142857142857,4999
27,0.01,1.0,multiplicative,logistic,0.95,1.2375362097250104,0.9107142857142857,5030
53,0.5,0.1,additive,logistic,0.95,0.655681354578026,0.875,5031
49,0.5,0.01,additive,logistic,0.95,0.89721178889196,0.9821428571428571,5064
35,0.1,0.01,multiplicative,logistic,0.95,0.43032809950201656,0.7678571428571429,5069
54,0.5,0.1,multiplicative,linear,0.95,1.0865711632373738,1.0,5088
25,0.01,1.0,additive,logistic,0.95,0.3500223805459382,0.75,5093
48,0.5,0.01,additive,linear,0.95,0.3710085574548346,0.875,5155
59,0.5,1.0,multiplicative,logistic,0.95,0.7703275972832514,0.8392857142857143,5174
3,0.001,0.01,multiplicative,logistic,0.95,0.1502997109933237,1.0,5208
50,0.5,0.01,multiplicative,linear,0.95,0.5042322271487387,0.8214285714285714,5229
50,0.5,0.01,multiplicative,linear,0.95,0.12750706053606883,0.9107142857142857,5283
54,0.5,0.1,multiplicative,linear,0.95,0.21336037119899473,0.75,5303
1,0.001,0.01,additive,logistic,0.95,0.27381512672305286,0.9642857142857143,5305
49,0.5,0.01,additive,logistic,0.95,0.47802924707291405,0.7857142857142857,5324
50,0.5,0.01,multiplicative,linear,0.95,0.8620409327364041,0.9821428571428571,5340
58,0.5,1.0,multiplicative,linear,0.95,0.777455455130264,0.9642857142857143,5383
16,0.01,0.01,additive,linear,0.95,0.07769905129210207,0.9285714285714286,5416
4,0.001,0.1,additive,linear,0.95,0.09120155632021956,0.9642857142857143,5443
30,0.01,10.0,multiplicative,linear,0.95,0.4473393023210376,0.75,5476
4,0.001,0.1,additive,linear,0.95,0.2546306015423936,0.9285714285714286,5491
47,0.1,10.0,multiplicative,logistic,0.95,0.5486331080472459,0.7678571428571429,5512
14,0.001,10.0,multiplicative,linear,0.95,0.4039798961221475,0.9107142857142857,5523
61,0.5,10.0,additive,logistic,0.95,0.3534614490722266,0.9464285714285714,5569
35,0.1,0.01,multiplicative,logistic,0.95,0.743577016549777,0.9821428571428571,5578
56,0.5,1.0,additive,linear,0.95,0.4014026572161122,0.8035714285714286,5585
55,0.5,0.1,multiplicative,logistic,0.95,0.4117929422823579,0.9107142857142857,5727
39,0.1,0.1,multiplicative,logistic,0.95,0.3211979525024586,0.8035714285714286,5729
9,0.001,1.0,additive,logistic,0.95,0.39743999657346724,0.8035714285714286,5794
63,0.5,10.0,multiplicative,logistic,0.95,0.7982685265989922,0.9107142857142857,5799
21,0.01,0.1,additive,logistic,0.95,0.4359207650323556,0.875,5895
32,0.1,0.01,additive,linear,0.95,0.21909951061807714,0.8035714285714286,5896
46,0.1,10.0,multiplicative,linear,0.95,0.5654154827126046,0.9464285714285714,5974
18,0.01,0.01,multiplicative,linear,0.95,0.5874408916916259,0.9642857142857143,6081
11,0.001,1.0,multiplicative,logistic,0.95,0.5017077251822957,0.9464285714285714,6147
50,0.5,0.01,multiplicative,linear,0.95,0.11185548544039378,0.875,6189
18,0.01,0.01,multiplicative,linear,0.95,0.9756930556537832,0.8928571428571429,6191
33,0.1,0.01,additive,logistic,0.95,0.5052710127352326,0.9642857142857143,6204
1,0.001,0.01,additive,logistic,0.95,0.3920884609093674,0.8035714285714286,6268
17,0.01,0.01,additive,logistic,0.95,0.15197797493195228,0.9821428571428571,6278
1,0.001,0.01,additive,logistic,0.95,0.23727109041805267,0.9642857142857143,6300
54,0.5,0.1,multiplicative,linear,0.95,0.30876432740161314,1.0,6318
7,0.001,0.1,multiplicative,logistic,0.95,0.7822489907698281,0.4642857142857143,6323
25,0.01,1.0,additive,logistic,0.95,0.27154937577810445,0.9285714285714286,6342
2,0.001,0.01,multiplicative,linear,0.95,0.8258786584683572,0.8571428571428571,6344
59,0.5,1.0,multiplicative,logistic,0.95,0.3722479086450628,0.9642857142857143,6367
35,0.1,0.01,multiplicative,logistic,0.95,0.3572754576760925,0.9107142857142857,6399
54,0.5,0.1,multiplicative,linear,0.95,0.4916541065833255,1.0,6427
15,0.001,10.0,multiplicative,logistic,0.95,0.6060161125533955,0.8392857142857143,6440
1,0.001,0.01,additive,logistic,0.95,0.7998974473737853,0.8214285714285714,6457
63,0.5,10.0,multiplicative,logistic,0.95,0.34290932250517553,0.75,6481
17,0.01,0.01,additive,logistic,0.95,0.7208067584160894,1.0,6546
63,0.5,10.0,multiplicative,logistic,0.95,1.3206403689935076,0.9761904761904762,6598
56,0.5,1.0,additive,linear,0.95,0.8247977963697101,0.8928571428571429,6645
